   Kintetic: 4.003343783806806        Potential: 51.67241029524407       total: -47.669066511437265
   Kintetic: 4.010050129690768        Potential: 51.67911662448675       total: -47.669066494795985
   Kintetic: 4.016794038861421        Potential: 51.685860517540064       total: -47.669066478678644
   Kintetic: 4.023575519963911        Potential: 51.69264198307576       total: -47.66906646311185
   Kintetic: 4.030394571760059        Potential: 51.69946101988305       total: -47.66906644812299
   Kintetic: 4.037251182743844        Potential: 51.70631761648415       total: -47.669066433740305
   Kintetic: 4.044145330746346        Potential: 51.71321175073921       total: -47.669066419992866
   Kintetic: 4.051076982530008        Potential: 51.72014338944061       total: -47.6690664069106
   Kintetic: 4.058046093372054        Potential: 51.72711248789637       total: -47.669066394524314
   Kintetic: 4.065052606636919        Potential: 51.73411898950262       total: -47.6690663828657
   Kintetic: 4.072096453337548        Potential: 51.741162825304876       total: -47.669066371967325
   Kintetic: 4.079177551685452        Potential: 51.74824391354815       total: -47.6690663618627
   Kintetic: 4.0862958066293755        Potential: 51.7553621592156       total: -47.66906635258623
   Kintetic: 4.093451109382491        Potential: 51.762517453555745       total: -47.66906634417325
   Kintetic: 4.100643336937996        Potential: 51.76970967359807       total: -47.66906633666007
   Kintetic: 4.107872351573047        Potential: 51.776938681656965       total: -47.66906633008392
   Kintetic: 4.115138000340939        Potential: 51.78420432482393       total: -47.66906632448299
   Kintetic: 4.122440114551498        Potential: 51.79150643444795       total: -47.66906631989646
   Kintetic: 4.129778509239603        Potential: 51.79884482560405       total: -47.66906631636445
   Kintetic: 4.1371529826218545        Potential: 51.806219296549926       total: -47.66906631392807
   Kintetic: 4.144563315541346        Potential: 51.81362962817078       total: -47.66906631262943
   Kintetic: 4.15200927090058        Potential: 51.82107558341219       total: -47.66906631251161
   Kintetic: 4.159490593082543        Potential: 51.82855690670118       total: -47.669066313618636
   Kintetic: 4.167007007359999        Potential: 51.83607332335557       total: -47.66906631599557
   Kintetic: 4.174558219293085        Potential: 51.8436245389815       total: -47.66906631968842
   Kintetic: 4.182143914115327        Potential: 51.85121023885948       total: -47.66906632474415
   Kintetic: 4.189763756108185        Potential: 51.85883008731892       total: -47.669066331210736
   Kintetic: 4.197417387964309        Potential: 51.86648372710137       total: -47.66906633913706
   Kintetic: 4.205104430139721        Potential: 51.87417077871269       total: -47.66906634857297
   Kintetic: 4.212824480195101        Potential: 51.881890839764324       total: -47.66906635956922
   Kintetic: 4.220577112126502        Potential: 51.88964348430401       total: -47.66906637217751
   Kintetic: 4.228361875685756        Potential: 51.897428262136124       total: -47.66906638645037
   Kintetic: 4.236178295690927        Potential: 51.905244698132165       total: -47.66906640244124
   Kintetic: 4.2440258713272065        Potential: 51.91309229153158       total: -47.66906642020437
   Kintetic: 4.251904075438668        Potential: 51.920970515233506       total: -47.66906643979484
   Kintetic: 4.2598123538113555        Potential: 51.928878815079834       total: -47.66906646126848
   Kintetic: 4.267750124448241        Potential: 51.9368166091301       total: -47.669066484681856
   Kintetic: 4.2757167768366315        Potential: 51.94478328692886       total: -47.66906651009223
   Kintetic: 4.283711671208624        Potential: 51.952778208766134       total: -47.66906653755751
   Kintetic: 4.291734137795341        Potential: 51.96080070493153       total: -47.669066567136184
   Kintetic: 4.299783476075659        Potential: 51.968850074962965       total: -47.669066598887305
   Kintetic: 4.3078589540202366        Potential: 51.976925586890616       total: -47.66906663287038
   Kintetic: 4.315959807331742        Potential: 51.98502647647708       total: -47.66906666914534
   Kintetic: 4.324085238682183        Potential: 51.99315194645463       total: -47.66906670777245
   Kintetic: 4.332234416948349        Potential: 52.001301165760594       total: -47.66906674881224
   Kintetic: 4.340406476446468        Potential: 52.00947326877193       total: -47.66906679232546
   Kintetic: 4.348600516167198        Potential: 52.0176673545401       total: -47.669066838372906
   Kintetic: 4.3568155990121955        Potential: 52.0258824860276       total: -47.669066887015404
   Kintetic: 4.365050751033555        Potential: 52.03411768934724       total: -47.669066938313684
   Kintetic: 4.3733049606775145        Potential: 52.0423719530058       total: -47.66906699232828
   Kintetic: 4.381577178033886        Potential: 52.05064422715329       total: -47.669067049119406
   Kintetic: 4.389866314092768        Potential: 52.0589334228396       total: -47.66906710874683
   Kintetic: 4.398171240010173        Potential: 52.067238411279966       total: -47.669067171269795
   Kintetic: 4.406490786384303        Potential: 52.075558023131116       total: -47.66906723674681
   Kintetic: 4.4148237425442804        Potential: 52.08389104777987       total: -47.66906730523559
   Kintetic: 4.423168855853248        Potential: 52.092236232646094       total: -47.669067376792846
   Kintetic: 4.431524831027841        Potential: 52.10059228250201       total: -47.66906745147416
   Kintetic: 4.439890329476096        Potential: 52.10895785880994       total: -47.669067529333844
   Kintetic: 4.448263968656022        Potential: 52.11733157908071       total: -47.66906761042469
