   Kintetic: 3.0725027469813704e-07        Potential: -0.0012181387252475325       total: 0.0012184459755222306
   Kintetic: 1.2475268053223126e-06        Potential: -0.0012184464956845227       total: 0.0012196940224898452
   Kintetic: 2.869075111640691e-06        Potential: -0.0012190757506089023       total: 0.0012219448257205431
   Kintetic: 5.251451743033105e-06        Potential: -0.001220054200397619       total: 0.0012253056521406521
   Kintetic: 8.513211704606751e-06        Potential: -0.0012214258996105156       total: 0.0012299391113151223
   Kintetic: 1.2823582469545055e-05        Potential: -0.001223255472072617       total: 0.0012360790545421622
   Kintetic: 1.8419035356942652e-05        Potential: -0.0012256344512561895       total: 0.0012440534866131323
   Kintetic: 2.5624223847202375e-05        Potential: -0.0012286901782220187       total: 0.0012543144020692209
   Kintetic: 3.4869594907403336e-05        Potential: -0.001232596753464377       total: 0.0012674663483717803
   Kintetic: 4.666966526545768e-05        Potential: -0.0012375830557420741       total: 0.0012842527210075317
   Kintetic: 6.142525702438852e-05        Potential: -0.001243915440333118       total: 0.0013053406973575065
   Kintetic: 7.861920895243386e-05        Potential: -0.0012517729402724547       total: 0.0013303921492248884
   Kintetic: 9.465323819143918e-05        Potential: -0.0012607783689110826       total: 0.001355431607102522
   Kintetic: 0.00010116140301652666        Potential: -0.0012689133937063217       total: 0.0013700747967228483
   Kintetic: 9.25609509196272e-05        Potential: -0.0012721599180978164       total: 0.0013647208690174435
   Kintetic: 7.460979132217871e-05        Potential: -0.0012683177411063195       total: 0.0013429275324284983
   Kintetic: 5.551743718384137e-05        Potential: -0.0012601760972433505       total: 0.001315693534427192
   Kintetic: 3.90801754318241e-05        Potential: -0.0012515130357875317       total: 0.0012905932112193556
   Kintetic: 2.607352726488614e-05        Potential: -0.001244098890057573       total: 0.001270172417322459
   Kintetic: 1.624190483965779e-05        Potential: -0.0012383039325055895       total: 0.0012545458373452473
   Kintetic: 9.142651199145377e-06        Potential: -0.00123401553119473       total: 0.0012431581823938752
   Kintetic: 4.401229926567032e-06        Potential: -0.0012310337084071395       total: 0.0012354349383337066
   Kintetic: 1.7686184955674811e-06        Potential: -0.001229191584803621       total: 0.0012309602032991886
   Kintetic: 1.1267047242626496e-06        Potential: -0.0012283830604086607       total: 0.0012295097651329233
   Kintetic: 2.488351249257712e-06        Potential: -0.00122856636314987       total: 0.0012310547143991276
   Kintetic: 6.006074397274835e-06        Potential: -0.0012297654714862303       total: 0.0012357715458835054
   Kintetic: 1.1990460715222544e-05        Potential: -0.0012320758891832845       total: 0.0012440663498985071
   Kintetic: 2.092140894281494e-05        Potential: -0.0012356745262191622       total: 0.001256595935161977
   Kintetic: 3.3372297197255505e-05        Potential: -0.0012408221016936179       total: 0.0012741943988908734
   Kintetic: 4.955129233644675e-05        Potential: -0.001247806854442169       total: 0.001297358146778616
   Kintetic: 6.768264549990443e-05        Potential: -0.0012566528089414813       total: 0.0013243354544413856
   Kintetic: 8.115069315575925e-05        Potential: -0.0012662149058435515       total: 0.0013473655989993108
   Kintetic: 8.135237909240736e-05        Potential: -0.001273011293600373       total: 0.0013543636726927805
   Kintetic: 6.942370824702162e-05        Potential: -0.0012732635359294531       total: 0.0013426872441764746
   Kintetic: 5.35775997301046e-05        Potential: -0.001267849086734946       total: 0.0013214266864650505
   Kintetic: 3.9026798048519895e-05        Potential: -0.0012606285441702795       total: 0.0012996553422187993
   Kintetic: 2.7276043199752014e-05        Potential: -0.0012540291488534621       total: 0.0012813051920532142
   Kintetic: 1.8309327988446844e-05        Potential: -0.0012487536128771705       total: 0.0012670629408656172
   Kintetic: 1.174178180602305e-05        Potential: -0.0012447957365209926       total: 0.0012565375183270155
   Kintetic: 7.192827218034156e-06        Potential: -0.00124197811220079       total: 0.0012491709394188242
   Kintetic: 4.372959015101471e-06        Potential: -0.0012401262767031912       total: 0.0012444992357182928
   Kintetic: 3.0869102518651887e-06        Potential: -0.0012391090016454036       total: 0.0012421959118972688
   Kintetic: 3.2172084406670355e-06        Potential: -0.0012388395974217638       total: 0.0012420568058624309
   Kintetic: 4.7046746732164135e-06        Potential: -0.0012392680384240478       total: 0.0012439727130972643
   Kintetic: 7.52700873238023e-06        Potential: -0.0012403714690226682       total: 0.0012478984777550483
   Kintetic: 1.1670517543693926e-05        Potential: -0.001242143387195598       total: 0.001253813904739292
   Kintetic: 1.7085925206199167e-05        Potential: -0.001244578865600205       total: 0.001261664790806404
   Kintetic: 2.361588550875305e-05        Potential: -0.0012476511926777956       total: 0.0012712670781865486
   Kintetic: 3.0883808296614525e-05        Potential: -0.0012512740348486308       total: 0.0012821578431452454
   Kintetic: 3.815593963574311e-05        Potential: -0.0012552454327362267       total: 0.0012934013723719699
   Kintetic: 4.4258982387065036e-05        Potential: -0.0012591836414896451       total: 0.0013034426238767102
   Kintetic: 4.7752012703533544e-05        Potential: -0.0012625017282682418       total: 0.0013102537409717754
   Kintetic: 4.753360515410894e-05        Potential: -0.001264516804941345       total: 0.0013120504100954538
   Kintetic: 4.359234524324124e-05        Potential: -0.001264753888856765       total: 0.0013083462341000063
   Kintetic: 3.711614902353932e-05        Potential: -0.0012632724476705239       total: 0.001300388596694063
   Kintetic: 2.978842857008971e-05        Potential: -0.0012606732985939837       total: 0.0012904617271640734
   Kintetic: 2.3037998414227236e-05        Potential: -0.0012577578377986742       total: 0.0012807958362129016
   Kintetic: 1.776959287489077e-05        Potential: -0.0012551919642896027       total: 0.0012729615571644935
   Kintetic: 1.4446602271269017e-05        Potential: -0.0012533934925132066       total: 0.0012678400947844757
   Kintetic: 1.3252782850499056e-05        Potential: -0.0012525758142164446       total: 0.0012658285970669435
   Kintetic: 1.419527017337576e-05        Potential: -0.0012528226841040317       total: 0.0012670179542774074
   Kintetic: 1.7110677512258285e-05        Potential: -0.0012541317478136974       total: 0.0012712424253259556
   Kintetic: 2.15683674398954e-05        Potential: -0.0012564092926954035       total: 0.0012779776601352989
   Kintetic: 2.6706032132892997e-05        Potential: -0.0012594151121173912       total: 0.0012861211442502841
   Kintetic: 3.116616976333655e-05        Potential: -0.0012626828967269494       total: 0.0012938490664902858
   Kintetic: 3.345755668156791e-05        Potential: -0.0012655125479106965       total: 0.0012989701045922643
   Kintetic: 3.2779735493020456e-05        Potential: -0.0012671844303357306       total: 0.0012999641658287511
   Kintetic: 2.9551585778157977e-05        Potential: -0.0012673623456455983       total: 0.001296913931423756
   Kintetic: 2.5002497974195986e-05        Potential: -0.0012663021333308069       total: 0.0012913046313050027
   Kintetic: 2.0374535251094083e-05        Potential: -0.0012646196827530722       total: 0.0012849942180041664
   Kintetic: 1.6488613116211046e-05        Potential: -0.0012629109657499224       total: 0.0012793995788661337
   Kintetic: 1.3722128225936722e-05        Potential: -0.0012615593685107909       total: 0.0012752814967367276
   Kintetic: 1.2135491037753278e-05        Potential: -0.0012607342807022907       total: 0.001272869771740044
   Kintetic: 1.158973024903922e-05        Potential: -0.0012604544705736949       total: 0.001272044200822734
   Kintetic: 1.1824609164589996e-05        Potential: -0.0012606447690341144       total: 0.0012724693781987044
   Kintetic: 1.2516755706850328e-05        Potential: -0.0012611742277832535       total: 0.0012736909834901039
   Kintetic: 1.3341365988538825e-05        Potential: -0.0012618860022132823       total: 0.0012752273682018213
