   Kintetic: 6.19660142409302e-05        Potential: 0.9971545498121468       total: -0.9970925837979058
   Kintetic: 0.0003146585966928696        Potential: 0.9974048236759718       total: -0.997090165079279
   Kintetic: 0.0008386821803436446        Potential: 0.9979243305203317       total: -0.997085648339988
   Kintetic: 0.0016649090266809762        Potential: 0.9987461553259308       total: -0.9970812462992498
   Kintetic: 0.002809696206343652        Potential: 0.9998926398184164       total: -0.9970829436120726
   Kintetic: 0.004226138580992984        Potential: 1.0013195521460991       total: -0.9970934135651063
   Kintetic: 0.005777807881100897        Potential: 1.0028876847641217       total: -0.9971098768830209
   Kintetic: 0.007227393250923724        Potential: 1.0043636708725407       total: -0.997136277621617
   Kintetic: 0.008435072662642817        Potential: 1.0055153427607104       total: -0.9970802700980675
   Kintetic: 0.009653002304780141        Potential: 1.006709788018218       total: -0.9970567857134378
   Kintetic: 0.011087568998344963        Potential: 1.0081671229576303       total: -0.9970795539592855
   Kintetic: 0.012691295326814225        Potential: 1.0097432216421707       total: -0.9970519263153566
   Kintetic: 0.014281310855742        Potential: 1.011395616911787       total: -0.9971143060560451
   Kintetic: 0.015541464536478467        Potential: 1.0126303692623664       total: -0.9970889047258878
   Kintetic: 0.016552754838646076        Potential: 1.013596156119946       total: -0.9970434012813
   Kintetic: 0.017709283127424886        Potential: 1.0147437243646957       total: -0.9970344412372708
   Kintetic: 0.01920109837749187        Potential: 1.016237150128962       total: -0.9970360517514699
   Kintetic: 0.02091064524330285        Potential: 1.0179691104712578       total: -0.997058465227955
   Kintetic: 0.022674037237811095        Potential: 1.0197240346754073       total: -0.9970499974375963
   Kintetic: 0.024470357398422078        Potential: 1.0215172391512626       total: -0.9970468817528406
   Kintetic: 0.02631780666131027        Potential: 1.0233618689489268       total: -0.9970440622876164
   Kintetic: 0.02831516709850071        Potential: 1.0253273933359126       total: -0.9970122262374118
   Kintetic: 0.030398249850050046        Potential: 1.027469042068759       total: -0.9970707922187091
   Kintetic: 0.03225815285977708        Potential: 1.0292874267528735       total: -0.9970292738930964
   Kintetic: 0.03388094505310411        Potential: 1.0309269769269844       total: -0.9970460318738803
   Kintetic: 0.03538469739328213        Potential: 1.0324108829515082       total: -0.9970261855582262
   Kintetic: 0.03686511575832589        Potential: 1.0338840131850013       total: -0.9970188974266755
   Kintetic: 0.03831974521334203        Potential: 1.0353684492845947       total: -0.9970487040712527
   Kintetic: 0.03964274536314266        Potential: 1.036642818430384       total: -0.9970000730672413
   Kintetic: 0.04105185644538399        Potential: 1.0380201363468178       total: -0.9969682799014338
   Kintetic: 0.04274048267990556        Potential: 1.0397673078504812       total: -0.9970268251705756
   Kintetic: 0.04463092295662734        Potential: 1.0416032558934978       total: -0.9969723329368704
   Kintetic: 0.04670696549143152        Potential: 1.0437123768710421       total: -0.9970054113796105
   Kintetic: 0.04882968910723862        Potential: 1.045863120381436       total: -0.9970334312741973
   Kintetic: 0.05068575645639113        Potential: 1.0477319888998167       total: -0.9970462324434256
   Kintetic: 0.052408008552006696        Potential: 1.0493779625921869       total: -0.9969699540401802
   Kintetic: 0.05435060196253324        Potential: 1.0513453821524577       total: -0.9969947801899245
   Kintetic: 0.056654696911641565        Potential: 1.0536322293200793       total: -0.9969775324084378
   Kintetic: 0.05931490750948596        Potential: 1.056337487744461       total: -0.9970225802349748
   Kintetic: 0.06196813637436746        Potential: 1.0590218723626648       total: -0.9970537359882973
   Kintetic: 0.06423939741083823        Potential: 1.0612825463282392       total: -0.997043148917401
   Kintetic: 0.06632122711143186        Potential: 1.063279391855586       total: -0.9969581647441542
   Kintetic: 0.06859322364262509        Potential: 1.0655648608062573       total: -0.9969716371636321
   Kintetic: 0.07116083463202912        Potential: 1.0681533143582067       total: -0.9969924797261777
   Kintetic: 0.07408298015782244        Potential: 1.0710251766872654       total: -0.9969421965294428
   Kintetic: 0.07725139511013814        Potential: 1.0742048626686418       total: -0.9969534675585038
   Kintetic: 0.08047072437779393        Potential: 1.077499784986069       total: -0.997029060608275
   Kintetic: 0.08349795988577552        Potential: 1.0804601472192883       total: -0.9969621873335128
   Kintetic: 0.08615036216874113        Potential: 1.0831938198756357       total: -0.9970434577068945
   Kintetic: 0.08855294520256686        Potential: 1.0855447219598564       total: -0.9969917767572894
   Kintetic: 0.09082970744523901        Potential: 1.0878307178579505       total: -0.9970010104127116
   Kintetic: 0.09319890102974221        Potential: 1.0901796392347272       total: -0.996980738204985
   Kintetic: 0.09582133528451409        Potential: 1.0928626656473794       total: -0.9970413303628652
   Kintetic: 0.09828690343417791        Potential: 1.0953481208294653       total: -0.9970612173952875
   Kintetic: 0.10063040440192265        Potential: 1.0976109683082653       total: -0.9969805639063427
   Kintetic: 0.10316190779294221        Potential: 1.1001964768375116       total: -0.9970345690445694
   Kintetic: 0.10576408505149756        Potential: 1.102815954504823       total: -0.9970518694533255
   Kintetic: 0.10844017277972644        Potential: 1.1054844011074363       total: -0.9970442283277098
   Kintetic: 0.11118616066409907        Potential: 1.1081889557882447       total: -0.9970027951241457
   Kintetic: 0.11435812417100265        Potential: 1.1113514151032853       total: -0.9969932909322827
   Kintetic: 0.11801341561970097        Potential: 1.1150808505511485       total: -0.9970674349314474
   Kintetic: 0.1213714904258051        Potential: 1.1184236002427408       total: -0.9970521098169356
   Kintetic: 0.12409128119366708        Potential: 1.1211375339399403       total: -0.9970462527462733
   Kintetic: 0.12655524312952252        Potential: 1.1236607614019594       total: -0.9971055182724369
   Kintetic: 0.1291096286055836        Potential: 1.1261965604628812       total: -0.9970869318572976
   Kintetic: 0.13202376533211174        Potential: 1.1290139804799035       total: -0.9969902151477917
   Kintetic: 0.13552111507153267        Potential: 1.132636356648086       total: -0.9971152415765532
   Kintetic: 0.13902729822871884        Potential: 1.1360632058119227       total: -0.9970359075832038
   Kintetic: 0.1425749793684644        Potential: 1.1395225880097237       total: -0.9969476086412594
   Kintetic: 0.14683035028829958        Potential: 1.143855448217312       total: -0.9970250979290125
   Kintetic: 0.15182643582495103        Potential: 1.1488291350479496       total: -0.9970026992229986
   Kintetic: 0.15640653424150858        Potential: 1.153272251231746       total: -0.9968657169902373
   Kintetic: 0.15998803189203237        Potential: 1.1569323830396077       total: -0.9969443511475753
   Kintetic: 0.16336783551388975        Potential: 1.1601925212408115       total: -0.9968246857269217
   Kintetic: 0.1669814049018937        Potential: 1.1638063321470438       total: -0.9968249272451499
   Kintetic: 0.17060796832690467        Potential: 1.1675555804481754       total: -0.9969476121212706
   Kintetic: 0.17437532820641408        Potential: 1.1712877710508798       total: -0.9969124428444656
   Kintetic: 0.1782651081764803        Potential: 1.1752000303177654       total: -0.9969349221412851
   Kintetic: 0.18155043245053332        Potential: 1.178451675413039       total: -0.9969012429625057
   Kintetic: 0.18464519713658978        Potential: 1.1816270515855016       total: -0.9969818544489117
   Kintetic: 0.18767055418621267        Potential: 1.1846866598066634       total: -0.9970161056204507
   Kintetic: 0.19005299329840805        Potential: 1.1871064902263644       total: -0.9970534969279563
   Kintetic: 0.1919347580824259        Potential: 1.1888975926068186       total: -0.9969628345243926
   Kintetic: 0.19404010608739178        Potential: 1.190949648544163       total: -0.9969095424567712
   Kintetic: 0.19715982797460424        Potential: 1.1941640858873814       total: -0.9970042579127771
   Kintetic: 0.2013044252242108        Potential: 1.1982233621375886       total: -0.9969189369133779
   Kintetic: 0.20619677582214657        Potential: 1.2032399477233329       total: -0.9970431719011862
   Kintetic: 0.2113356994327467        Potential: 1.2084712719053243       total: -0.9971355724725777
   Kintetic: 0.21594912667017943        Potential: 1.2130091119268145       total: -0.9970599852566351
   Kintetic: 0.22002227395314833        Potential: 1.2171235326729217       total: -0.9971012587197733
   Kintetic: 0.22339949828068795        Potential: 1.2204335275153473       total: -0.9970340292346594
   Kintetic: 0.22655215015487348        Potential: 1.2236471119161276       total: -0.9970949617612541
   Kintetic: 0.23002150503990929        Potential: 1.2270897723371004       total: -0.9970682672971912
   Kintetic: 0.23373022706028806        Potential: 1.2308850214401188       total: -0.9971547943798307
   Kintetic: 0.23745722065534008        Potential: 1.234643320049666       total: -0.997186099394326
   Kintetic: 0.24153455191134296        Potential: 1.2385845605942445       total: -0.9970500086829015
   Kintetic: 0.24711832955704344        Potential: 1.2441809680483038       total: -0.9970626384912603
   Kintetic: 0.2537540187350302        Potential: 1.2509747076720275       total: -0.9972206889369972
   Kintetic: 0.2600183410555995        Potential: 1.2572576736233547       total: -0.9972393325677551
   Kintetic: 0.26594037233244483        Potential: 1.2629326409613264       total: -0.9969922686288816
   Kintetic: 0.27269029070251594        Potential: 1.2697417537871363       total: -0.9970514630846202
   Kintetic: 0.28009185333708814        Potential: 1.2771609806155808       total: -0.9970691272784928
   Kintetic: 0.2869618944078        Potential: 1.284206516890006       total: -0.9972446224822062
   Kintetic: 0.2930260872057373        Potential: 1.290243566500751       total: -0.9972174792950137
   Kintetic: 0.29830596521353964        Potential: 1.2954984384716288       total: -0.9971924732580891
   Kintetic: 0.3033032785187494        Potential: 1.3004324566003498       total: -0.9971291780816005
   Kintetic: 0.3085172641453636        Potential: 1.305836399672873       total: -0.9973191355275095
   Kintetic: 0.3142574354281519        Potential: 1.3114232374250177       total: -0.9971658019968658
   Kintetic: 0.3203986213921407        Potential: 1.3176839071353346       total: -0.997285285743194
   Kintetic: 0.3262277110357575        Potential: 1.3234224003113801       total: -0.9971946892756226
   Kintetic: 0.33225738495443724        Potential: 1.3295582368448298       total: -0.9973008518903925
   Kintetic: 0.33875468579171786        Potential: 1.336051584259839       total: -0.9972968984681212
   Kintetic: 0.3457277992190666        Potential: 1.3427052104096044       total: -0.9969774111905378
   Kintetic: 0.3534612507658723        Potential: 1.3507991070711503       total: -0.997337856305278
   Kintetic: 0.36075560586228556        Potential: 1.3579690453168307       total: -0.9972134394545452
   Kintetic: 0.36718310605391496        Potential: 1.3644997398473588       total: -0.9973166337934438
   Kintetic: 0.3737903535044762        Potential: 1.3709944561758125       total: -0.9972041026713364
   Kintetic: 0.3803960322215435        Potential: 1.377692541787847       total: -0.9972965095663034
   Kintetic: 0.38692644977943214        Potential: 1.3839666600438254       total: -0.9970402102643933
   Kintetic: 0.3943426863275053        Potential: 1.391594839751894       total: -0.9972521534243889
   Kintetic: 0.4023615903888928        Potential: 1.3996112854237193       total: -0.9972496950348265
   Kintetic: 0.4100627733025523        Potential: 1.4070508336134953       total: -0.996988060310943
   Kintetic: 0.41724006156996407        Potential: 1.414276407908844       total: -0.9970363463388798
   Kintetic: 0.423438489298048        Potential: 1.4206399885415917       total: -0.9972014992435437
   Kintetic: 0.42844949495406226        Potential: 1.4254094414963925       total: -0.9969599465423302
   Kintetic: 0.43356713276303915        Potential: 1.4303083112441026       total: -0.9967411784810636
   Kintetic: 0.43969334946549415        Potential: 1.4365300188558374       total: -0.9968366693903432
   Kintetic: 0.44655546309413213        Potential: 1.4435328885645127       total: -0.9969774254703805
   Kintetic: 0.45384795251692994        Potential: 1.450724518028302       total: -0.9968765655113719
   Kintetic: 0.46130793495017025        Potential: 1.458143449143506       total: -0.9968355141933357
   Kintetic: 0.46966751506449683        Potential: 1.4665731158443336       total: -0.9969056007798368
   Kintetic: 0.47894268964573894        Potential: 1.4758772894504213       total: -0.9969345998046824
   Kintetic: 0.48789905394555105        Potential: 1.4845817613674723       total: -0.9966827074219213
   Kintetic: 0.49658140789417154        Potential: 1.4932289139711892       total: -0.9966475060770177
   Kintetic: 0.5055866194937417        Potential: 1.5022810503251822       total: -0.9966944308314405
   Kintetic: 0.5154169084633412        Potential: 1.5118711148905446       total: -0.9964542064272035
   Kintetic: 0.5260434187065318        Potential: 1.522715187016829       total: -0.996671768310297
   Kintetic: 0.5370638807104199        Potential: 1.5336861230175256       total: -0.9966222423071057
   Kintetic: 0.5485655442545735        Potential: 1.5446112831769778       total: -0.9960457389224043
   Kintetic: 0.5602755119417466        Potential: 1.5561858029360671       total: -0.9959102909943205
   Kintetic: 0.5718889410615401        Potential: 1.5680506830569425       total: -0.9961617419954024
   Kintetic: 0.5834514376992594        Potential: 1.5794573547736872       total: -0.9960059170744278
   Kintetic: 0.594348294108476        Potential: 1.5902586981415758       total: -0.9959104040330997
   Kintetic: 0.6058216864437228        Potential: 1.601787821583702       total: -0.9959661351399792
   Kintetic: 0.6195014257913802        Potential: 1.6153575007305312       total: -0.9958560749391511
   Kintetic: 0.6338858962439727        Potential: 1.629477097508688       total: -0.9955912012647153
   Kintetic: 0.6475608095536736        Potential: 1.643149791474479       total: -0.9955889819208054
   Kintetic: 0.6624072649733049        Potential: 1.6579541368972317       total: -0.9955468719239268
   Kintetic: 0.6787101277407205        Potential: 1.6744599188246483       total: -0.9957497910839277
   Kintetic: 0.6950688453886065        Potential: 1.6901366709081698       total: -0.9950678255195634
   Kintetic: 0.7106662620953508        Potential: 1.706122109852974       total: -0.9954558477576233
   Kintetic: 0.7251836986732968        Potential: 1.7198936228291504       total: -0.9947099241558536
   Kintetic: 0.7408142536000407        Potential: 1.7353225196916304       total: -0.9945082660915898
   Kintetic: 0.7573502986333402        Potential: 1.7518500410508242       total: -0.9944997424174838
   Kintetic: 0.77430062007163        Potential: 1.7682149218539671       total: -0.993914301782337
   Kintetic: 0.7930835550978356        Potential: 1.787401903002748       total: -0.9943183479049125
   Kintetic: 0.8105646722324625        Potential: 1.8054523722427467       total: -0.994887700010284
   Kintetic: 0.826751935239634        Potential: 1.8205669057007094       total: -0.9938149704610755
   Kintetic: 0.8453794610255843        Potential: 1.8395368688067544       total: -0.9941574077811702
   Kintetic: 0.8666344307157928        Potential: 1.8604560014531173       total: -0.9938215707373245
   Kintetic: 0.889437996379791        Potential: 1.8832622232356817       total: -0.9938242268558906
   Kintetic: 0.9139067489951653        Potential: 1.9073699478136679       total: -0.9934631988185025
   Kintetic: 0.9403091384250939        Potential: 1.9335947835366663       total: -0.9932856451115725
   Kintetic: 0.9678458733683625        Potential: 1.9609892621470466       total: -0.9931433887786842
   Kintetic: 0.9982460793437967        Potential: 1.991869451517475       total: -0.9936233721736784
   Kintetic: 1.0295438299175776        Potential: 2.0215521380060926       total: -0.9920083080885148
   Kintetic: 1.0634760654034396        Potential: 2.0554246348653358       total: -0.9919485694618961
   Kintetic: 1.1020553968813755        Potential: 2.093735793427307       total: -0.9916803965459314
   Kintetic: 1.1395143645289805        Potential: 2.1307196744382537       total: -0.9912053099092729
   Kintetic: 1.1769202956141758        Potential: 2.167255482467972       total: -0.9903351868537965
   Kintetic: 1.216492227741098        Potential: 2.2079286345236575       total: -0.9914364067825596
   Kintetic: 1.2584662621251475        Potential: 2.24914258025998       total: -0.9906763181348327
   Kintetic: 1.3060030970113143        Potential: 2.2969731741807875       total: -0.9909700771694733
   Kintetic: 1.3561823042293748        Potential: 2.3462065749851817       total: -0.9900242707558071
