   Kintetic: 5.9355633843546283e-05        Potential: 0.9985330539993706       total: -0.9984736983655271
   Kintetic: 0.00030034462386386494        Potential: 0.9987722854010118       total: -0.998471940777148
   Kintetic: 0.0007941337620120232        Potential: 0.9992637037360628       total: -0.9984695699740508
   Kintetic: 0.0015496636589570957        Potential: 1.000020459340378       total: -0.998470795681421
   Kintetic: 0.0025313699909596124        Potential: 1.0010137886129475       total: -0.9984824186219878
   Kintetic: 0.0036262580016805357        Potential: 1.0021208426135777       total: -0.9984945846118971
   Kintetic: 0.004735027204787462        Potential: 1.0032203711925989       total: -0.9984853439878113
   Kintetic: 0.005876375106941386        Potential: 1.0043513917342748       total: -0.9984750166273334
   Kintetic: 0.007088238550880744        Potential: 1.0055654285446762       total: -0.9984771899937954
   Kintetic: 0.00835800594820035        Potential: 1.0068279675918481       total: -0.9984699616436478
   Kintetic: 0.009714719217648785        Potential: 1.0081715762050358       total: -0.9984568569873872
   Kintetic: 0.011224832540277832        Potential: 1.00967616257846       total: -0.9984513300381821
   Kintetic: 0.012915518702498512        Potential: 1.0113718898642274       total: -0.998456371161729
   Kintetic: 0.014715645477793278        Potential: 1.0131759854813724       total: -0.9984603400035792
   Kintetic: 0.016539357790195018        Potential: 1.0149984985745226       total: -0.9984591407843275
   Kintetic: 0.018315569592292785        Potential: 1.0167855935511718       total: -0.998470023958879
   Kintetic: 0.019966455531513754        Potential: 1.0184186252627365       total: -0.9984521697312227
   Kintetic: 0.021656125512419466        Potential: 1.020070091678886       total: -0.9984139661664665
   Kintetic: 0.023436519377733684        Potential: 1.0218922684506933       total: -0.9984557490729596
   Kintetic: 0.024956638744605464        Potential: 1.0234154483335447       total: -0.9984588095889393
   Kintetic: 0.026125263515541782        Potential: 1.0245467596644195       total: -0.9984214961488777
   Kintetic: 0.027304159741162667        Potential: 1.0257244792268352       total: -0.9984203194856726
   Kintetic: 0.028607905941532553        Potential: 1.0270262518855477       total: -0.9984183459440151
   Kintetic: 0.02998142018495371        Potential: 1.028376657358199       total: -0.9983952371732452
   Kintetic: 0.03163564414145525        Potential: 1.0300310972246078       total: -0.9983954530831527
   Kintetic: 0.03358376778085633        Potential: 1.0320177171143485       total: -0.9984339493334922
   Kintetic: 0.03550336450000074        Potential: 1.0339455625166332       total: -0.9984421980166325
   Kintetic: 0.03735571542876902        Potential: 1.0357610836144855       total: -0.9984053681857166
   Kintetic: 0.039441404145715064        Potential: 1.0378067361384895       total: -0.9983653319927746
   Kintetic: 0.04187324687982962        Potential: 1.0402900654145117       total: -0.9984168185346821
   Kintetic: 0.044469123002818474        Potential: 1.0428915802858594       total: -0.998422457283041
   Kintetic: 0.04707860190779178        Potential: 1.0453902212212924       total: -0.9983116193135007
   Kintetic: 0.0497669448922976        Potential: 1.0481405967949784       total: -0.9983736519026808
   Kintetic: 0.05224590279182816        Potential: 1.050670298223266       total: -0.998424395431438
   Kintetic: 0.054179632852911525        Potential: 1.0525223789973974       total: -0.9983427461444859
   Kintetic: 0.05596689039870053        Potential: 1.0543491001883318       total: -0.9983822097896314
   Kintetic: 0.05764832014562563        Potential: 1.0560647755066588       total: -0.9984164553610331
   Kintetic: 0.05915009814976572        Potential: 1.0574500264553832       total: -0.9982999283056175
   Kintetic: 0.06088610430759995        Potential: 1.0592334312674008       total: -0.9983473269598008
   Kintetic: 0.06285448337843429        Potential: 1.0612458162272695       total: -0.9983913328488353
   Kintetic: 0.06454495181651852        Potential: 1.0629441931534382       total: -0.9983992413369196
   Kintetic: 0.06589895748978701        Potential: 1.064239213448371       total: -0.9983402559585838
   Kintetic: 0.06748173031178725        Potential: 1.0657627011337185       total: -0.9982809708219312
   Kintetic: 0.0694162608320009        Potential: 1.0677615372218547       total: -0.9983452763898539
   Kintetic: 0.0713866360071568        Potential: 1.069746100289136       total: -0.9983594642819791
   Kintetic: 0.07331116807796005        Potential: 1.0716253397094941       total: -0.998314171631534
   Kintetic: 0.0754097033890012        Potential: 1.0737447378091902       total: -0.9983350344201891
   Kintetic: 0.07767317986230553        Potential: 1.07602257888068       total: -0.9983493990183745
   Kintetic: 0.08009926849959476        Potential: 1.0783752791040697       total: -0.998276010604475
   Kintetic: 0.08305882501386187        Potential: 1.0813515707268821       total: -0.9982927457130203
   Kintetic: 0.08642276675584905        Potential: 1.0847582337413004       total: -0.9983354669854514
   Kintetic: 0.08955432174415646        Potential: 1.0879335916655173       total: -0.9983792699213608
   Kintetic: 0.09234744018440609        Potential: 1.0906214343829295       total: -0.9982739941985234
   Kintetic: 0.09552344102912784        Potential: 1.0937991488238197       total: -0.9982757077946918
   Kintetic: 0.09905205586533557        Potential: 1.0974249497450037       total: -0.9983728938796681
   Kintetic: 0.1022078086698528        Potential: 1.1005830754415806       total: -0.9983752667717279
   Kintetic: 0.10495479663242235        Potential: 1.1032721574889806       total: -0.9983173608565582
   Kintetic: 0.1076715708796958        Potential: 1.106006824737309       total: -0.9983352538576132
   Kintetic: 0.11052768022761558        Potential: 1.1088538010974283       total: -0.9983261208698125
   Kintetic: 0.11335006359382643        Potential: 1.111641066358896       total: -0.9982910027650694
   Kintetic: 0.1163423382834764        Potential: 1.1147036409388051       total: -0.9983613026553287
   Kintetic: 0.11919129942117135        Potential: 1.1175502939237436       total: -0.9983589945025723
   Kintetic: 0.12158891506750873        Potential: 1.1199563785731756       total: -0.9983674635056671
   Kintetic: 0.12396564923822215        Potential: 1.1222640894960898       total: -0.9982984402578677
   Kintetic: 0.1262660243679907        Potential: 1.1246411809462384       total: -0.9983751565782477
   Kintetic: 0.12874029594966938        Potential: 1.1270383869210274       total: -0.9982980909713581
   Kintetic: 0.13159753051876596        Potential: 1.1300083501857905       total: -0.9984108196670245
   Kintetic: 0.13464644346282886        Potential: 1.132954216614409       total: -0.9983077731515803
   Kintetic: 0.13795408436252668        Potential: 1.1363435047199761       total: -0.9983894203574495
   Kintetic: 0.14112862560902587        Potential: 1.1395580037399715       total: -0.9984293781309456
   Kintetic: 0.14417745315538116        Potential: 1.1424821916381165       total: -0.9983047384827354
   Kintetic: 0.1477780444854485        Potential: 1.1461197707720132       total: -0.9983417262865646
   Kintetic: 0.152039244651975        Potential: 1.1504149351343285       total: -0.9983756904823534
   Kintetic: 0.15658593640594295        Potential: 1.1549502213815457       total: -0.9983642849756028
   Kintetic: 0.1613665048752947        Potential: 1.1596400347104214       total: -0.9982735298351268
   Kintetic: 0.16689718828051375        Potential: 1.165211499368524       total: -0.9983143110880104
   Kintetic: 0.1728333250742298        Potential: 1.1710834988031813       total: -0.9982501737289515
   Kintetic: 0.17899284737848373        Potential: 1.1772666233546858       total: -0.998273775976202
   Kintetic: 0.18530325181637242        Potential: 1.1837103390487036       total: -0.9984070872323313
   Kintetic: 0.1906088321526726        Potential: 1.1890503944586903       total: -0.9984415623060179
   Kintetic: 0.19483139609022346        Potential: 1.1930222378531552       total: -0.9981908417629318
   Kintetic: 0.19894982165589178        Potential: 1.1971599441148952       total: -0.9982101224590034
   Kintetic: 0.20305183815816627        Potential: 1.2012633607230856       total: -0.9982115225649194
   Kintetic: 0.20690932470392215        Potential: 1.2051403141021373       total: -0.9982309893982151
   Kintetic: 0.21084165315601627        Potential: 1.2090336303217408       total: -0.9981919771657246
   Kintetic: 0.21536668120183033        Potential: 1.2135265772806487       total: -0.9981598960788185
   Kintetic: 0.22044832203546394        Potential: 1.218608288707471       total: -0.998159966672007
   Kintetic: 0.2259069746771969        Potential: 1.2240790987081873       total: -0.9981721240309903
   Kintetic: 0.2318366246058798        Potential: 1.2297434865520371       total: -0.9979068619461573
   Kintetic: 0.238396672954055        Potential: 1.2364224880041796       total: -0.9980258150501247
   Kintetic: 0.24472623408494487        Potential: 1.2433452943114096       total: -0.9986190602264646
   Kintetic: 0.2498311572309004        Potential: 1.2481558835023459       total: -0.9983247262714454
   Kintetic: 0.2539801117465204        Potential: 1.25256803914397       total: -0.9985879273974496
   Kintetic: 0.2575115292532153        Potential: 1.2556732254576108       total: -0.9981616962043955
   Kintetic: 0.2610193316246868        Potential: 1.2593276001996503       total: -0.9983082685749635
   Kintetic: 0.26459207256174433        Potential: 1.2629936166381028       total: -0.9984015440763584
   Kintetic: 0.26877974897089635        Potential: 1.267057644009199       total: -0.9982778950383027
   Kintetic: 0.2746905562646618        Potential: 1.2730132586089575       total: -0.9983227023442957
   Kintetic: 0.28182555276937193        Potential: 1.2802269966410167       total: -0.9984014438716448
   Kintetic: 0.2898199924286874        Potential: 1.288198551173123       total: -0.9983785587444357
   Kintetic: 0.298241934674388        Potential: 1.2966702766987177       total: -0.9984283420243296
   Kintetic: 0.3061097994841989        Potential: 1.304411863033185       total: -0.9983020635489861
   Kintetic: 0.31362762787578335        Potential: 1.312002071390283       total: -0.9983744435144994
   Kintetic: 0.3205616533390634        Potential: 1.3189315094101104       total: -0.9983698560710469
   Kintetic: 0.32674168499249323        Potential: 1.3252871535811839       total: -0.9985454685886906
   Kintetic: 0.3334428254882823        Potential: 1.3320724354589735       total: -0.9986296099706912
   Kintetic: 0.3412890125034191        Potential: 1.339839745231612       total: -0.9985507327281928
   Kintetic: 0.34996831353204594        Potential: 1.3484176887482089       total: -0.9984493752161628
   Kintetic: 0.35995252192825267        Potential: 1.3583319163127325       total: -0.9983793943844799
   Kintetic: 0.37133144503805304        Potential: 1.369258403235671       total: -0.9979269581976179
   Kintetic: 0.38281746004664363        Potential: 1.3807797095408632       total: -0.9979622494942194
   Kintetic: 0.3936904406395157        Potential: 1.3912953671978663       total: -0.9976049265583506
   Kintetic: 0.40366013894365377        Potential: 1.401388610423742       total: -0.9977284714800884
   Kintetic: 0.411066445935842        Potential: 1.4088148603491406       total: -0.9977484144132986
   Kintetic: 0.4164323783404434        Potential: 1.4137649266853687       total: -0.9973325483449252
   Kintetic: 0.4224538091273035        Potential: 1.4200064261829752       total: -0.9975526170556718
   Kintetic: 0.42982986230153114        Potential: 1.4270469045019438       total: -0.9972170422004127
   Kintetic: 0.4387998644172112        Potential: 1.4363008683191785       total: -0.9975010039019673
   Kintetic: 0.44905749604219625        Potential: 1.4463746394412496       total: -0.9973171433990535
   Kintetic: 0.4594255218065375        Potential: 1.4567595929619415       total: -0.9973340711554038
   Kintetic: 0.4691481204975767        Potential: 1.4663697809665344       total: -0.9972216604689577
   Kintetic: 0.47758955473197906        Potential: 1.4753307319307647       total: -0.9977411771987856
   Kintetic: 0.4857745438269621        Potential: 1.4832216270484255       total: -0.9974470832214635
   Kintetic: 0.49497072065441894        Potential: 1.4922899703567685       total: -0.9973192497023495
   Kintetic: 0.5059099807539743        Potential: 1.503543708682382       total: -0.9976337279284078
   Kintetic: 0.518271476023973        Potential: 1.516009939696082       total: -0.9977384636721088
   Kintetic: 0.5316652287066882        Potential: 1.5291699215813948       total: -0.9975046928747066
   Kintetic: 0.5466651733741025        Potential: 1.5443321536854469       total: -0.9976669803113444
   Kintetic: 0.5630591722337586        Potential: 1.56075008091802       total: -0.9976909086842612
   Kintetic: 0.5797326703557009        Potential: 1.577440760598613       total: -0.9977080902429121
   Kintetic: 0.5970769018707845        Potential: 1.5945554969882991       total: -0.9974785951175145
   Kintetic: 0.6171284247851823        Potential: 1.6145127363916745       total: -0.9973843116064922
   Kintetic: 0.637834630748351        Potential: 1.635988813234846       total: -0.9981541824864949
   Kintetic: 0.6565987415291888        Potential: 1.6536845211552924       total: -0.9970857796261036
   Kintetic: 0.6744453777730863        Potential: 1.6719549208978657       total: -0.9975095431247794
   Kintetic: 0.6925453224781785        Potential: 1.6892598287258023       total: -0.9967145062476238
   Kintetic: 0.712732870365123        Potential: 1.7090805458240697       total: -0.9963476754589468
   Kintetic: 0.733819282164966        Potential: 1.7303843935258612       total: -0.9965651113608952
   Kintetic: 0.7564081126995887        Potential: 1.752586293710609       total: -0.9961781810110202
   Kintetic: 0.7801126972146017        Potential: 1.7773545054679853       total: -0.9972418082533835
   Kintetic: 0.7982804251150959        Potential: 1.793150238946277       total: -0.994869813831181
   Kintetic: 0.8114829506994903        Potential: 1.8060105251342644       total: -0.9945275744347742
   Kintetic: 0.8249341752384826        Potential: 1.8189418710937209       total: -0.9940076958552384
   Kintetic: 0.838478743216319        Potential: 1.833164317404352       total: -0.9946855741880329
   Kintetic: 0.853862016743772        Potential: 1.8486230608258503       total: -0.9947610440820782
   Kintetic: 0.875125053821154        Potential: 1.86944980427914       total: -0.9943247504579862
   Kintetic: 0.9010593945359867        Potential: 1.895762395043596       total: -0.9947030005076092
   Kintetic: 0.9294007721002147        Potential: 1.9241365379901207       total: -0.9947357658899061
   Kintetic: 0.9591023850906936        Potential: 1.9537384674060911       total: -0.9946360823153975
   Kintetic: 0.989074350012138        Potential: 1.9824860406503606       total: -0.9934116906382227
   Kintetic: 1.0199524420639265        Potential: 2.0154250016351476       total: -0.9954725595712212
   Kintetic: 1.0505014630421505        Potential: 2.045764949110478       total: -0.9952634860683275
   Kintetic: 1.0779875146405185        Potential: 2.0720763425548703       total: -0.9940888279143516
   Kintetic: 1.1067879348484426        Potential: 2.0997893832756596       total: -0.993001448427217
   Kintetic: 1.131848740198081        Potential: 2.1233028693767277       total: -0.9914541291786467
   Kintetic: 1.1511314544436633        Potential: 2.142238445365027       total: -0.9911069909213637
   Kintetic: 1.1705412019077828        Potential: 2.1594373475702056       total: -0.9888961456624228
   Kintetic: 1.1848381425288235        Potential: 2.1714434559806124       total: -0.9866053134517888
